folder|name|url
日常/音乐/编程音乐 musicForProgramming();|编程音乐 musicForProgramming();|https://musicforprogramming.net/latest/
日常/音乐/豆瓣FM|豆瓣FM|https://fm.douban.com/user-guide
日常/音乐/中文播客榜|中文播客榜|https://xyzrank.com/#/
日常/云盘/阿里云盘|阿里云盘|https://www.aliyundrive.com/drive
日常/云盘/百度网盘|百度网盘|https://pan.baidu.com/disk/main?from=homeFlow#/index?category=all
日常/云盘/坚果云 - 云盘|坚果云 - 云盘|https://www.jianguoyun.com/#/
日常/云盘/Pixcall - 本地优先的新一代同步网盘|Pixcall - 本地优先的新一代同步网盘|https://pixcall.com/
日常/内网VPN/http://10.188.106.251:8080/sapphire/site/templates/wyyymingzhutemp/indexJOS_Index.htm|http://10.188.106.251:8080/sapphire/site/templates/wyyymingzhutemp/indexJOS_Index.htm|http://10.188.106.251:8080/sapphire/site/templates/wyyymingzhutemp/indexJOS_Index.htm
日常/内网VPN/云枢-福州市烟草|云枢-福州市烟草|http://10.188.12.135/portal-page/defaultPortalDashboard
日常/内网VPN/省局 VPN|省局 VPN|https://110.87.189.241:20443/SSL/user/PasswordLogin.jsp
日常/内网VPN/vpn 112.5.143.16|vpn 112.5.143.16|https://112.5.143.16:20443/
日常/内网VPN/vpn 220.150.23.18|vpn 220.150.23.18|https://220.250.23.18:20443/
日常/内网VPN/vpn 172.29.1.73|vpn 172.29.1.73|https://172.29.1.73:20443/
日常/内网VPN/vpn 110.87.189.241|vpn 110.87.189.241|https://110.87.189.241:20443/
日常/内网VPN/登录|登录|http://10.188.253.18/
AI/AI对话/Zeli - 用中文阅读Hacker News和AI论文|Zeli - 用中文阅读Hacker News和AI论文|https://zeli.app/zh
AI/AI对话/云端应用平台 Railway|云端应用平台 Railway|https://railway.app/
AI/AI对话/Account API Keys - OpenAI API|Account API Keys - OpenAI API|https://platform.openai.com/account/api-keys
AI/AI对话/AI assistant for software developers|AI assistant for software developers|https://www.tabnine.com/
AI/AI对话/AI 代码生成器 - Amazon CodeWhisperer - AWS|AI 代码生成器 - Amazon CodeWhisperer - AWS|https://aws.amazon.com/cn/codewhisperer/
AI/AI对话/AICodeHelper AI编程助手:AI代码生成,免费在线生成最佳AI代码|AICodeHelper AI编程助手:AI代码生成,免费在线生成最佳AI代码|https://www.aicodehelper.com/
AI/AI对话/AI工具集导航|AI工具集导航|https://ai-bot.cn/
AI/AI对话/AI配色  AI Colors|AI配色  AI Colors|https://aicolors.co/
AI/AI对话/AlphaCode|AlphaCode|https://alphacode.deepmind.com/
AI/AI对话/Bard for Google|Bard for Google|https://bard.google.com/
AI/AI对话/ChatDOC|ChatDOC|https://chatdoc.com/chatdoc/
AI/AI对话/ChatGPT access_token|ChatGPT access_token|https://chat.openai.com/api/auth/session
AI/AI对话/ChatGPT Cheat Sheet & Quick Reference|ChatGPT Cheat Sheet & Quick Reference|https://quickref.me/chatgpt
AI/AI对话/ChatGPT Prompt Generator - a Hugging Face Space by merve|ChatGPT Prompt Generator - a Hugging Face Space by merve|https://huggingface.co/spaces/merve/ChatGPT-prompt-generator
AI/AI对话/ChatGPT Shortcut - 简单易用的 ChatGPT 快捷指令表，让生产力倍增！|ChatGPT Shortcut - 简单易用的 ChatGPT 快捷指令表，让生产力倍增！|https://newzone.top/chatgpt/
AI/AI对话/ChatGPT 指令大全|ChatGPT 指令大全|https://www.explainthis.io/zh-hans/chatgpt
AI/AI对话/ChatPDF - Chat with any PDF!|ChatPDF - Chat with any PDF!|https://www.chatpdf.com/
AI/AI对话/Claude 2 AI by Anthropic|Claude 2 AI by Anthropic|https://www.claudeai.ai/
AI/AI对话/Claude in Slack|Claude in Slack|https://www.anthropic.com/claude-in-slack
AI/AI对话/Codeium · Free AI Code Completion & Chat|Codeium · Free AI Code Completion & Chat|https://codeium.com/
AI/AI对话/Examples - OpenAI API|Examples - OpenAI API|https://platform.openai.com/examples/default-essay-outline
AI/AI对话/Forefront Chat|Forefront Chat|https://chat.forefront.ai/
AI/AI对话/freegpt|freegpt|https://freegpt.one/
AI/AI对话/GitHub Copilot · Your AI pair programmer|GitHub Copilot · Your AI pair programmer|https://github.com/features/copilot/
AI/AI对话/Home|Home|https://www.anthropic.com/
AI/AI对话/https://chat.openai.com/cdn-cgi/trace|https://chat.openai.com/cdn-cgi/trace|https://chat.openai.com/cdn-cgi/trace
AI/AI对话/HuggingChat|HuggingChat|https://huggingface.co/chat/
AI/AI对话/Lunabot - 在任何网页为你服务的AI助理，通过快捷指令释放AI工作潜力，无需KEY和ChatGPT账号 - Lunabot.AI|Lunabot - 在任何网页为你服务的AI助理，通过快捷指令释放AI工作潜力，无需KEY和ChatGPT账号 - Lunabot.AI|https://lunabot.ai/zh/?ref=chatbene.com
AI/AI对话/MyShell|MyShell|https://app.myshell.ai/zh/chat
AI/AI对话/New chat|New chat|https://chat.openai.com/chat
AI/AI对话/OpenAI API 用量|OpenAI API 用量|https://platform.openai.com/account/usage
AI/AI对话/Pi, your personal AI|Pi, your personal AI|https://heypi.com/talk
AI/AI对话/PromptPerfect - Elevate your prompts to perfection|PromptPerfect - Elevate your prompts to perfection|https://promptperfect.jina.ai/
AI/AI对话/Rytr - Best AI Writer, Content Generator & Writing Assistant|Rytr - Best AI Writer, Content Generator & Writing Assistant|https://rytr.me/
AI/AI对话/Sage - Poe|Sage - Poe|https://poe.com/
